ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,M. DESPLANTES Florien,M. CHARVILLAT Arnaud,M. PLIEZ Eric,M. LEGRAND Aurélien    ,M. ZRIHEN Ariel    ,M. DIDIER François-Marie    ,M. VUONG Valéry,M. NEZZAR Rayan,Mme SIMONNET Danielle,Mme CALANDRA Frédérique    ,Mme GUHL Antoinette    
20-1,Municipales,2020,1,2020-03-15,15,79,20,1,20,1347,588,588,3,26,559,4,9,219,10,6,95,12,34,48,66,56
20-2,Municipales,2020,1,2020-03-15,15,79,20,2,17,1138,534,535,3,16,516,3,0,205,7,8,90,3,43,50,75,32
20-3,Municipales,2020,1,2020-03-15,15,79,20,3,21,1471,627,627,8,35,584,3,4,247,6,7,78,12,42,55,62,68
20-4,Municipales,2020,1,2020-03-15,15,79,20,4,25,1429,667,667,4,34,629,4,7,243,7,5,79,7,43,66,93,75
20-5,Municipales,2020,1,2020-03-15,15,79,20,5,22,1391,680,681,6,34,641,0,4,270,9,5,84,8,48,33,100,80
20-6,Municipales,2020,1,2020-03-15,15,79,20,6,11,1411,629,629,10,9,610,3,6,201,14,11,100,8,48,66,71,82
20-7,Municipales,2020,1,2020-03-15,15,79,20,7,11,1327,558,558,2,33,523,3,6,173,5,5,80,6,57,47,73,68
20-8,Municipales,2020,1,2020-03-15,15,79,20,8,25,1307,621,621,1,29,591,1,6,228,1,8,55,6,60,48,100,78
20-9,Municipales,2020,1,2020-03-15,15,77,20,9,27,1597,584,584,6,35,543,2,8,210,6,6,71,8,39,58,73,62
20-10,Municipales,2020,1,2020-03-15,15,77,20,10,13,1380,447,447,3,20,424,0,4,187,13,3,62,8,22,49,40,36
20-11,Municipales,2020,1,2020-03-15,15,77,20,11,22,1638,601,601,13,23,565,9,6,252,10,4,73,6,37,67,52,49
20-12,Municipales,2020,1,2020-03-15,15,77,20,12,23,1344,633,633,5,28,600,1,3,268,5,6,51,4,38,73,70,81
20-13,Municipales,2020,1,2020-03-15,15,77,20,13,22,1502,700,700,5,46,649,1,8,298,8,7,49,2,29,106,59,82
20-14,Municipales,2020,1,2020-03-15,15,77,20,14,31,1564,749,749,2,31,716,3,15,311,9,10,54,5,55,78,77,99
20-15,Municipales,2020,1,2020-03-15,15,78,20,15,17,1484,628,628,3,16,609,4,5,224,16,4,87,5,45,59,77,83
20-16,Municipales,2020,1,2020-03-15,15,78,20,16,25,1592,779,779,1,30,748,2,5,269,15,15,154,13,42,65,96,72
20-17,Municipales,2020,1,2020-03-15,15,78,20,17,4,1513,582,582,1,32,549,4,9,187,12,11,82,4,41,71,74,54
20-18,Municipales,2020,1,2020-03-15,15,78,20,18,15,1438,475,475,7,14,454,4,8,152,13,6,85,4,32,49,56,45
20-19,Municipales,2020,1,2020-03-15,15,78,20,19,12,1496,675,675,5,39,631,7,4,224,20,11,111,7,48,58,87,54
20-20,Municipales,2020,1,2020-03-15,15,78,20,20,9,1616,564,564,7,28,529,2,9,197,15,10,76,15,35,55,58,57
20-21,Municipales,2020,1,2020-03-15,15,78,20,21,8,1591,502,502,8,23,471,2,11,140,13,11,87,14,39,33,82,39
20-22,Municipales,2020,1,2020-03-15,15,78,20,22,15,1564,617,617,7,28,582,3,5,196,9,10,121,5,50,53,61,69
20-23,Municipales,2020,1,2020-03-15,15,78,20,23,32,1606,706,706,7,33,666,3,5,201,18,12,136,12,47,68,113,51
20-24,Municipales,2020,1,2020-03-15,15,78,20,24,15,1435,650,650,5,41,604,2,2,215,15,8,88,2,38,56,90,88
20-25,Municipales,2020,1,2020-03-15,15,78,20,25,19,1557,734,734,6,26,702,3,9,322,7,5,76,5,38,70,80,87
20-26,Municipales,2020,1,2020-03-15,15,78,20,26,16,1396,526,527,0,23,504,4,4,203,9,8,58,5,38,64,56,55
20-27,Municipales,2020,1,2020-03-15,15,78,20,27,16,1353,588,588,2,23,563,2,3,189,16,12,103,4,57,56,78,43
20-28,Municipales,2020,1,2020-03-15,15,78,20,28,9,1472,532,532,3,7,522,3,3,158,11,13,108,8,37,42,89,50
20-29,Municipales,2020,1,2020-03-15,15,78,20,29,13,1515,640,640,3,36,601,1,3,210,8,10,111,10,52,52,88,56
20-30,Municipales,2020,1,2020-03-15,15,78,20,30,3,1763,417,416,22,4,390,3,4,126,10,14,82,4,25,48,50,24
20-31,Municipales,2020,1,2020-03-15,15,78,20,31,19,1604,563,563,7,18,538,2,7,188,14,11,123,4,38,45,56,50
20-32,Municipales,2020,1,2020-03-15,15,78,20,32,24,1560,573,573,5,20,548,4,1,213,19,9,101,9,47,38,55,52
20-33,Municipales,2020,1,2020-03-15,15,80,20,33,5,1430,357,357,3,13,341,3,6,98,18,6,95,4,19,33,42,17
20-34,Municipales,2020,1,2020-03-15,15,80,20,34,9,1440,457,457,2,10,445,14,4,149,19,8,78,15,23,52,43,40
20-35,Municipales,2020,1,2020-03-15,15,80,20,35,6,1425,428,428,7,15,406,5,7,131,33,4,77,7,19,41,57,25
20-36,Municipales,2020,1,2020-03-15,15,80,20,36,8,1246,358,358,3,15,340,2,11,104,5,5,68,3,17,37,49,39
20-37,Municipales,2020,1,2020-03-15,15,80,20,37,12,1582,526,526,4,33,489,1,6,186,11,5,58,12,52,58,54,46
20-38,Municipales,2020,1,2020-03-15,15,80,20,38,14,1449,539,539,6,28,505,4,6,193,13,7,71,29,34,53,48,47
20-39,Municipales,2020,1,2020-03-15,15,80,20,39,8,1436,464,463,2,16,445,6,6,118,18,10,88,25,29,57,46,42
20-40,Municipales,2020,1,2020-03-15,15,80,20,40,7,1469,528,528,5,21,502,2,6,155,12,13,86,21,38,54,78,37
20-41,Municipales,2020,1,2020-03-15,15,80,20,41,13,1550,499,499,5,27,467,3,5,160,22,10,76,12,33,51,56,39
20-42,Municipales,2020,1,2020-03-15,15,80,20,42,19,1519,667,667,4,29,634,4,7,243,13,12,83,8,49,78,63,74
