ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme RÉMY-LELEU Raphaëlle","M. RUPIN Pacôme    ","Mme POL Patricia    ","M. VÉRON Aurélien    ","Mme CHAVANE Christiane    ","Mme LEWI Olivia    ","M. BERKANI Christophe    ","M. WEIL Ariel","Mme LEBRETON Anne    ","M. BULLARA Michaël    ","Mme CAMPION Singrid    "
2-1,Municipales,2020,1,2020/03/15,1,6,2,1,16,1184,500,500,3,3,494,65,118,8,143,7,1,1,101,39,6,5
2-2,Municipales,2020,1,2020/03/15,1,6,2,2,18,1035,454,454,3,3,448,51,102,9,124,5,0,4,106,33,10,4
2-3,Municipales,2020,1,2020/03/15,1,5,2,3,20,848,338,338,0,2,336,29,84,5,99,7,0,0,76,29,5,2
2-4,Municipales,2020,1,2020/03/15,1,7,2,4,26,1511,641,641,5,4,632,92,146,8,114,3,1,4,193,59,10,2
2-5,Municipales,2020,1,2020/03/15,1,7,2,5,21,1441,654,654,1,2,651,116,142,13,110,11,6,1,190,51,4,7
2-6,Municipales,2020,1,2020/03/15,1,7,2,6,26,1450,674,673,2,0,671,112,178,21,133,5,1,4,165,47,4,1
2-7,Municipales,2020,1,2020/03/15,1,8,2,7,38,1490,691,692,4,4,684,103,163,9,124,4,3,2,226,40,7,3
2-8,Municipales,2020,1,2020/03/15,1,8,2,8,39,1819,797,797,2,2,793,149,147,17,93,12,4,3,290,57,16,5
2-9,Municipales,2020,1,2020/03/15,1,8,2,9,41,1711,743,742,3,0,739,132,155,18,91,5,3,3,255,65,9,3
2-10,Municipales,2020,1,2020/03/15,1,8,2,10,27,1379,649,649,1,3,645,115,123,16,98,9,1,4,228,42,6,3
