ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme DIETHELM Victoire    ","M. PRÉAU Jean    ","M. ARNOULD Alexandre    ","Mme PIAZZINI Natasha    ","M. PENINOU Mao    ","M. TIBERI Dominique    ","M. GHOSN Georges    ","M. LE GAL Eric   ","Mme LEMARDELEY Marie-Christine    ","Mme PESKINE Hélène    ","Mme BIRABEN Anne    ","M. AUDOUIN Laurent    ","Mme BERTHOUT Florence    "
5-1,Municipales,2020,1,2020/03/15,2,20,5,1,51,1439,679,680,3,2,675,22,1,9,3,57,24,3,10,164,3,106,80,193
5-2,Municipales,2020,1,2020/03/15,2,20,5,2,38,1613,777,777,2,3,772,21,2,10,3,63,13,1,15,184,5,149,59,247
5-3,Municipales,2020,1,2020/03/15,2,20,5,3,30,1607,701,701,0,7,694,26,0,7,4,47,6,4,10,172,7,154,75,182
5-4,Municipales,2020,1,2020/03/15,2,20,5,4,29,1452,694,694,2,3,689,11,2,12,1,53,15,3,13,162,2,153,54,208
5-5,Municipales,2020,1,2020/03/15,2,19,5,5,30,1579,736,736,3,2,731,31,0,16,7,49,15,0,6,168,7,103,93,236
5-6,Municipales,2020,1,2020/03/15,2,19,5,6,39,1351,665,665,3,1,661,25,0,8,4,52,10,2,10,159,5,118,65,203
5-7,Municipales,2020,1,2020/03/15,2,19,5,7,30,1558,756,756,4,2,750,15,1,10,3,53,19,3,9,171,7,142,83,234
5-8,Municipales,2020,1,2020/03/15,2,19,5,8,34,1671,842,843,2,3,838,12,0,6,0,69,15,0,7,177,6,175,76,295
5-9,Municipales,2020,1,2020/03/15,2,19,5,9,38,1590,820,820,4,6,810,22,0,5,3,77,7,6,10,207,11,127,82,253
5-10,Municipales,2020,1,2020/03/15,2,19,5,10,68,1528,714,714,4,3,707,11,3,11,5,55,11,2,3,174,12,114,71,235
5-11,Municipales,2020,1,2020/03/15,2,19,5,11,27,1566,710,710,3,2,705,21,0,9,4,74,8,1,5,192,7,118,84,182
5-12,Municipales,2020,1,2020/03/15,2,19,5,12,64,1516,730,730,1,8,721,20,3,10,4,53,12,4,7,215,12,129,82,170
5-13,Municipales,2020,1,2020/03/15,2,18,5,13,25,1279,606,606,5,3,598,24,0,8,7,49,16,4,4,140,7,107,69,163
5-14,Municipales,2020,1,2020/03/15,2,18,5,14,36,1356,611,611,3,2,606,19,1,14,3,46,16,5,4,171,5,82,73,167
5-15,Municipales,2020,1,2020/03/15,2,18,5,15,34,1471,649,649,4,8,637,25,0,11,3,41,10,1,8,170,2,110,89,167
5-16,Municipales,2020,1,2020/03/15,2,18,5,16,17,1498,693,692,6,8,678,28,1,8,3,56,15,1,8,197,8,90,93,170
5-17,Municipales,2020,1,2020/03/15,2,18,5,17,50,1469,674,675,3,5,667,28,0,7,3,41,18,2,11,193,4,113,99,148
5-18,Municipales,2020,1,2020/03/15,2,18,5,18,45,1446,680,680,3,5,672,21,0,22,2,54,25,1,11,177,3,111,66,179
5-19,Municipales,2020,1,2020/03/15,2,18,5,19,25,1390,682,682,1,7,674,17,0,54,2,37,17,2,8,150,3,104,88,192
5-20,Municipales,2020,1,2020/03/15,2,18,5,20,16,1497,704,703,4,3,696,22,3,25,2,39,17,2,9,164,6,115,88,204
5-21,Municipales,2020,1,2020/03/15,2,17,5,21,29,1522,751,752,4,2,746,17,0,13,2,60,1,1,7,239,10,123,83,190
5-22,Municipales,2020,1,2020/03/15,2,17,5,22,45,1416,677,677,5,2,670,20,0,9,0,40,14,2,8,162,9,138,74,194
5-23,Municipales,2020,1,2020/03/15,2,17,5,23,27,1476,660,660,4,1,655,19,1,12,2,53,11,4,11,148,4,144,53,193
5-24,Municipales,2020,1,2020/03/15,2,17,5,24,25,1466,709,709,7,2,700,26,3,12,8,43,19,5,12,208,3,91,101,169
5-25,Municipales,2020,1,2020/03/15,2,17,5,25,36,1627,755,756,1,6,749,24,1,10,1,61,18,3,5,184,5,107,117,213
