ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. PESCHANSKI Marc    ","Mme KIS Antoinette    ","Mme ANDREZ Olivia    ","M. PATOU Fabien    ","Mme HERVIEU Céline    ","M. GANTZER Gaspard    ","M. LECOQ Jean-Pierre    ","Mme HOURTOULLE-ROLLET Frédérique    ","M. SENS Romain    ","Mme MANCUSI Rossella Letizia   "
6-1,Municipales,2020,1,2020/03/15,2,22,6,1,25,1325,560,560,4,1,555,1,41,43,2,112,120,214,5,15,2
6-2,Municipales,2020,1,2020/03/15,2,22,6,2,33,1278,535,535,3,2,530,1,37,39,4,90,128,223,2,5,1
6-3,Municipales,2020,1,2020/03/15,2,22,6,3,24,1428,655,655,2,2,651,2,60,54,4,127,141,230,3,14,16
6-4,Municipales,2020,1,2020/03/15,2,21,6,4,23,1131,464,465,1,3,461,1,49,34,0,91,106,166,6,4,4
6-5,Municipales,2020,1,2020/03/15,2,21,6,5,23,1194,484,484,3,2,479,0,35,47,3,103,106,163,4,6,12
6-6,Municipales,2020,1,2020/03/15,2,21,6,6,30,1135,519,521,1,3,517,0,34,61,3,128,86,184,3,11,7
6-7,Municipales,2020,1,2020/03/15,2,24,6,7,11,1012,438,438,1,2,435,0,42,27,1,69,103,180,2,5,6
6-8,Municipales,2020,1,2020/03/15,2,24,6,8,15,1020,444,444,3,1,440,3,23,37,2,82,124,159,0,7,3
6-9,Municipales,2020,1,2020/03/15,2,24,6,9,13,906,366,366,3,2,361,2,24,27,0,61,63,175,1,4,4
6-10,Municipales,2020,1,2008/03/11,2,22,6,10,18,1121,547,547,3,2,542,0,38,68,5,90,158,163,0,12,8
6-11,Municipales,2020,1,2020/03/15,11,23,6,11,24,1268,535,535,0,1,534,0,45,38,1,118,116,197,3,11,5
6-12,Municipales,2020,1,2020/03/15,11,23,6,12,27,1129,524,524,1,0,523,2,28,42,3,77,120,236,1,9,5
6-13,Municipales,2020,1,2020/03/15,11,23,6,13,26,1333,615,615,3,4,608,3,33,71,3,108,130,238,4,14,4
6-14,Municipales,2020,1,2020/03/15,11,23,6,14,25,1239,541,541,0,0,541,3,48,45,4,97,106,224,2,2,10
6-15,Municipales,2020,1,2020/03/15,11,23,6,15,13,1235,509,509,0,6,503,0,38,42,2,76,106,223,3,6,7
6-16,Municipales,2020,1,2020/03/15,11,23,6,16,38,1495,615,615,3,2,610,4,62,51,1,108,124,246,1,7,6
6-17,Municipales,2020,1,2020/03/15,11,23,6,17,25,1504,670,670,2,4,664,1,48,48,1,154,154,236,4,5,13
6-18,Municipales,2020,1,2020/03/15,11,23,6,18,24,1040,506,506,1,4,501,5,45,46,3,82,106,203,3,5,3
6-19,Municipales,2020,1,2020/03/15,11,23,6,19,34,1067,527,527,1,2,524,5,32,38,0,89,137,207,4,7,5
6-20,Municipales,2020,1,2020/03/15,11,23,6,20,23,1184,519,520,1,4,515,1,33,55,2,81,138,194,2,7,2
6-21,Municipales,2020,1,2020/03/15,11,23,6,21,14,1137,512,512,1,5,506,0,42,51,1,114,101,179,2,4,12
6-22,Municipales,2020,1,2020/03/15,11,23,6,22,26,1269,569,569,2,2,565,4,46,63,4,98,150,184,1,8,7
