ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme DATI Rachida    ","M. BASCHET Jean-Sébastien    ","Mme BOUILLIEZ Virginie    ","M. MISSOFFE Alexandre    ","Mme FILIPPOVA Diana    ","Mme HASNAOUI Samia    ","M. GOUZERH Denis    ","M. LOUVRADOUX Frédéric    ","Mme LECASBLE Valérie    ","Mme LAPORTE Manon    "
7-1,Municipales,2020,1,2020/03/15,2,26,7,1,24,1047,468,468,1,2,465,237,5,2,118,34,2,24,1,4,38
7-2,Municipales,2020,1,2020/03/15,2,26,7,2,37,1309,598,598,1,0,597,286,8,8,142,70,2,34,4,1,42
7-3,Municipales,2020,1,2020/03/15,2,26,7,3,22,1318,572,573,0,4,569,309,6,5,119,63,4,22,1,2,38
7-4,Municipales,2020,1,2020/03/15,2,25,7,4,18,1254,509,510,0,3,507,236,3,8,109,78,3,28,1,3,38
7-5,Municipales,2020,1,2020/03/15,2,25,7,5,22,1369,608,609,1,0,608,304,11,7,148,64,4,31,2,5,32
7-6,Municipales,2020,1,2020/03/15,2,25,7,6,27,1430,607,607,0,2,605,293,7,10,149,79,0,26,4,2,35
7-7,Municipales,2020,1,2020/03/15,2,25,7,7,25,1415,657,657,3,7,647,321,11,2,165,75,5,26,4,1,37
7-8,Municipales,2020,1,2020/03/15,2,25,7,8,44,1543,772,772,1,0,771,384,6,7,222,83,4,26,2,1,36
7-9,Municipales,2020,1,2020/03/15,12,27,7,9,27,1273,599,599,0,1,598,280,9,11,147,69,3,30,2,4,43
7-10,Municipales,2020,1,2008/03/11,12,27,7,10,20,1508,669,669,2,5,662,300,13,17,146,95,4,33,4,2,48
7-11,Municipales,2020,1,2020/03/15,12,27,7,11,35,1249,651,650,3,2,645,357,20,6,157,55,3,20,0,2,25
7-12,Municipales,2020,1,2020/03/15,12,27,7,12,23,1253,598,598,3,4,591,297,14,4,157,61,1,27,0,0,30
7-13,Municipales,2020,1,2020/03/15,12,27,7,13,22,1211,605,605,1,3,601,322,10,9,132,65,6,20,2,2,33
7-14,Municipales,2020,1,2020/03/15,12,27,7,14,24,1356,634,635,0,4,631,322,8,14,149,77,3,18,0,6,34
7-15,Municipales,2020,1,2020/03/15,2,28,7,15,25,1454,705,705,3,6,696,338,14,7,153,101,9,26,1,3,44
7-16,Municipales,2020,1,2020/03/15,2,28,7,16,22,1378,681,681,3,10,668,330,17,8,155,78,8,26,2,3,41
7-17,Municipales,2020,1,2020/03/15,2,28,7,17,12,1271,559,559,3,3,553,252,15,11,103,91,4,26,2,8,41
7-18,Municipales,2020,1,2020/03/15,2,28,7,18,14,1405,621,623,2,3,618,265,24,13,136,105,5,25,5,1,39
7-19,Municipales,2020,1,2020/03/15,2,28,7,19,29,1258,610,610,4,5,601,299,18,15,125,86,4,24,1,3,26
7-20,Municipales,2020,1,2020/03/15,2,28,7,20,25,1314,612,612,3,5,604,331,9,8,126,64,3,33,2,2,26
7-21,Municipales,2020,1,2020/03/15,2,28,7,21,24,1417,678,677,5,8,664,394,10,5,137,56,5,28,1,2,26
7-22,Municipales,2020,1,2020/03/15,2,28,7,22,29,1312,575,575,0,0,575,299,16,9,115,71,8,19,1,8,29
7-23,Municipales,2020,1,2020/03/15,2,28,7,23,23,1238,620,622,7,2,613,341,11,13,147,53,5,16,0,2,25
7-24,Municipales,2020,1,2020/03/15,2,28,7,24,22,1167,511,513,2,2,509,282,43,9,124,19,1,3,0,1,27
7-25,Municipales,2020,1,2020/03/15,2,28,7,25,10,1251,550,549,1,0,548,299,16,8,125,39,5,17,3,1,35
