ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. COT Guillaume    ","M. KELLER Thierry    ","M. MAURIN Pierre    ","Mme BÜRKLI Delphine    ","M. PONELLE Marc-Antoine    ","Mme CONTI Fabiola    ","M. DELANERY Côme    ","M. NGATCHA Arnaud    ","Mme BIRON Marie-Claude    ","Mme ROBIN Sophie    ","Mme BABU Hélène    "
9-1,Municipales,2020,1,2020/03/15,1,35,9,1,29,1364,598,598,2,0,596,52,43,97,212,8,1,8,168,1,5,1
9-2,Municipales,2020,1,2020/03/15,1,35,9,2,38,1436,593,593,4,2,587,53,41,78,209,6,0,27,167,2,2,2
9-3,Municipales,2020,1,2020/03/15,1,35,9,3,24,1450,613,613,2,2,609,65,33,82,239,4,2,16,161,2,2,3
9-4,Municipales,2020,1,2020/03/15,1,35,9,4,25,1449,667,667,0,0,667,64,67,95,256,5,1,19,156,0,2,2
9-5,Municipales,2020,1,2020/03/15,1,35,9,5,35,1502,734,734,6,1,727,66,51,117,287,22,6,19,144,6,6,3
9-6,Municipales,2020,1,2020/03/15,1,34,9,6,29,1340,601,601,6,3,592,60,48,117,221,5,4,17,110,5,4,1
9-7,Municipales,2020,1,2020/03/15,1,34,9,7,18,1341,581,580,0,3,577,34,38,165,189,7,4,15,119,2,0,4
9-8,Municipales,2020,1,2020/03/15,1,33,9,8,35,1416,666,666,0,2,664,57,61,134,268,3,4,2,128,2,2,3
9-9,Municipales,2020,1,2020/03/15,1,33,9,9,26,1441,705,705,1,3,701,67,49,114,324,4,6,14,119,0,3,1
9-10,Municipales,2020,1,2008/03/11,1,33,9,10,38,1407,643,643,3,6,634,45,40,118,270,6,4,13,132,1,2,3
9-11,Municipales,2020,1,2020/03/15,1,33,9,11,33,1463,689,689,1,2,686,65,50,80,269,10,1,20,183,2,2,4
9-12,Municipales,2020,1,2020/03/15,1,33,9,12,27,1447,660,660,3,3,654,57,48,103,236,3,3,22,168,3,6,5
9-13,Municipales,2020,1,2020/03/15,1,33,9,13,34,1598,717,717,8,5,704,68,55,87,251,8,5,31,194,1,3,1
9-14,Municipales,2020,1,2020/03/15,1,33,9,14,25,1608,762,763,4,4,755,72,67,122,279,10,6,16,177,3,2,1
9-15,Municipales,2020,1,2020/03/15,1,33,9,15,24,1482,707,707,7,5,695,63,40,118,256,4,2,15,187,5,1,4
9-16,Municipales,2020,1,2020/03/15,1,33,9,16,33,1452,699,700,3,1,696,66,44,114,275,12,4,11,162,5,1,2
9-17,Municipales,2020,1,2020/03/15,1,33,9,17,22,1541,774,774,1,3,770,64,57,180,261,19,1,13,165,2,5,3
9-18,Municipales,2020,1,2020/03/15,1,36,9,18,23,1539,673,673,5,2,666,85,30,91,254,11,7,12,166,3,2,5
9-19,Municipales,2020,1,2020/03/15,1,36,9,19,20,1408,613,613,5,1,607,69,33,88,192,8,0,18,186,2,10,1
9-20,Municipales,2020,1,2020/03/15,1,36,9,20,35,1469,722,722,6,3,713,63,51,111,255,10,6,17,193,1,3,3
9-21,Municipales,2020,1,2020/03/15,1,36,9,21,24,1544,696,696,0,2,694,72,55,101,260,8,1,20,164,6,3,4
9-22,Municipales,2020,1,2020/03/15,1,36,9,22,23,1422,672,672,1,2,669,61,43,104,239,9,1,17,190,3,2,0
9-23,Municipales,2020,1,2020/03/15,1,36,9,23,23,1380,632,632,3,2,627,69,42,88,204,9,2,15,189,0,6,3
9-24,Municipales,2020,1,2020/03/16,18,36,9,24,26,1444,699,699,3,0,696,57,47,82,307,12,6,21,158,2,3,1
9-25,Municipales,2020,1,2020/03/17,18,36,9,25,22,1593,647,647,2,3,642,65,46,86,196,11,6,26,194,7,3,2
9-26,Municipales,2020,1,2020/03/18,18,36,9,26,29,1519,716,716,3,4,709,60,51,102,252,6,4,14,211,2,4,3
9-27,Municipales,2020,1,2020/03/19,18,36,9,27,30,1611,715,716,3,4,709,110,48,67,199,11,8,27,231,4,3,1
