ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme NAZZAL Bouchra","Mme DUCAMP Anne    ","M. BELLIARD David    ","Mme CAR Pépita","Mme RANNER-LUXIN Lise-Marie    ","Mme GARNIER Nelly    ","M. D'ETIGNY François","M. LEFORT Jacques    ","M. VAUGLIN François    ","M. ALLMANG Cédrick","M. POITOUX Guillaume    "
11-1,Municipales,2020,1,2020/03/15,7,43,11,1,33,1749,765,765,3,5,757,48,1,94,33,3,107,4,22,344,3,98
11-2,Municipales,2020,1,2020/03/15,7,43,11,2,33,1616,799,799,7,12,780,47,1,84,34,5,94,1,32,351,5,126
11-3,Municipales,2020,1,2020/03/15,7,43,11,3,26,1482,637,637,6,12,619,29,10,75,33,5,80,6,18,275,8,80
11-4,Municipales,2020,1,2020/03/15,7,43,11,4,30,1722,740,740,3,5,732,45,7,75,34,0,109,3,20,330,7,102
11-5,Municipales,2020,1,2020/03/15,7,43,11,5,35,1715,735,735,3,7,725,54,6,100,35,3,70,8,25,321,3,100
11-6,Municipales,2020,1,2020/03/15,7,99,11,6,30,1625,702,702,7,16,679,41,3,85,30,0,86,6,17,320,16,75
11-7,Municipales,2020,1,2020/03/15,7,99,11,7,26,1527,675,675,7,7,661,42,1,91,30,7,79,2,29,273,10,97
11-8,Municipales,2020,1,2020/03/15,7,44,11,8,42,1516,728,728,1,7,720,43,8,110,38,3,84,1,10,324,7,92
11-9,Municipales,2020,1,2020/03/15,7,43,11,9,29,1623,748,748,11,5,732,36,1,99,22,1,86,3,15,360,5,104
11-10,Municipales,2020,1,2020/03/15,7,43,11,10,29,1595,676,677,2,3,672,45,4,61,27,0,104,8,22,286,11,104
11-11,Municipales,2020,1,2020/03/15,7,99,11,11,33,1820,776,776,3,9,764,64,5,108,40,4,72,0,10,353,7,101
11-12,Municipales,2020,1,2020/03/15,7,43,11,12,31,1642,752,752,3,13,736,50,5,108,32,4,82,2,12,344,6,91
11-13,Municipales,2020,1,2020/03/15,7,43,11,13,33,1662,710,711,5,10,696,62,2,114,21,2,71,3,19,305,5,92
11-14,Municipales,2020,1,2020/03/15,7,43,11,14,39,1800,858,858,7,12,839,56,6,124,46,3,94,6,40,336,8,120
11-15,Municipales,2020,1,2020/03/15,7,99,11,15,40,1712,818,820,1,10,809,59,7,84,17,2,142,7,18,303,5,165
11-16,Municipales,2020,1,2020/03/15,7,42,11,16,38,1525,738,738,0,9,729,56,2,74,13,0,129,4,20,265,4,162
11-17,Municipales,2020,1,2020/03/15,7,42,11,17,21,1500,677,677,2,3,672,40,7,84,20,4,108,2,15,268,4,120
11-18,Municipales,2020,1,2020/03/15,7,42,11,18,26,1496,641,642,3,12,627,29,5,65,24,1,85,4,18,278,5,113
11-19,Municipales,2020,1,2020/03/15,7,42,11,19,32,1482,651,651,2,4,645,39,2,66,18,1,86,5,16,295,7,110
11-20,Municipales,2020,1,2020/03/15,7,99,11,20,26,1647,750,750,3,7,740,40,3,109,32,1,113,7,14,286,2,133
11-21,Municipales,2020,1,2020/03/15,7,41,11,21,40,1542,697,697,6,7,684,57,7,78,23,1,80,3,23,275,2,135
11-22,Municipales,2020,1,2020/03/15,7,41,11,22,26,1697,726,726,4,14,708,47,4,96,28,5,78,3,14,308,3,122
11-23,Municipales,2020,1,2020/03/15,7,41,11,23,42,1649,732,732,3,5,724,42,5,112,39,1,81,3,9,341,7,84
11-24,Municipales,2020,1,2020/03/15,7,99,11,24,32,1743,779,779,1,8,770,61,2,112,24,3,74,5,27,302,4,156
11-25,Municipales,2020,1,2020/03/15,7,42,11,25,26,1734,819,819,4,17,798,44,5,121,41,2,93,6,20,343,3,120
11-26,Municipales,2020,1,2020/03/15,7,42,11,26,33,1742,807,807,5,13,789,55,6,94,30,5,99,5,30,331,8,126
11-27,Municipales,2020,1,2020/03/15,6,41,11,27,22,1686,802,802,5,6,791,49,8,125,36,3,66,7,13,384,2,98
11-28,Municipales,2020,1,2020/03/15,6,41,11,28,39,1700,740,740,4,6,730,37,7,111,44,1,57,1,15,345,3,109
11-29,Municipales,2020,1,2020/03/15,6,41,11,29,25,1759,726,726,4,5,717,41,2,131,61,5,73,2,15,297,4,86
11-30,Municipales,2020,1,2020/03/15,6,41,11,30,42,1848,757,757,5,10,742,38,2,129,49,4,54,2,11,360,12,81
11-31,Municipales,2020,1,2020/03/15,6,41,11,31,20,1840,645,645,3,11,631,35,5,88,55,4,68,6,22,282,11,55
11-32,Municipales,2020,1,2020/03/15,6,41,11,32,25,1920,747,747,6,8,733,53,9,108,49,3,67,4,15,339,13,73
11-33,Municipales,2020,1,2020/03/15,6,99,11,33,17,1808,749,750,3,7,740,46,5,94,36,5,81,3,31,342,7,90
