ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. BONY Clément    ","M. MILLOT Georges","M. GRÉGOIRE Emmanuel    ","Mme MAGNAN Annick    ","Mme MAZETIER Sandrine","Mme MONTANDON Valérie    ","M. REBOURG Patrick","Mme ELBAZ Caroline    ","Mme PIERRE-MARIE Emmanuelle    "
12-1,Municipales,2020,1,2020/03/15,8,46,12,1,28,1231,591,592,3,2,587,19,3,217,4,99,126,37,2,80
12-2,Municipales,2020,1,2020/03/15,8,46,12,2,18,1303,553,554,4,6,544,25,2,196,10,83,103,46,3,76
12-3,Municipales,2020,1,2020/03/15,8,46,12,3,13,1393,590,590,4,9,577,22,2,200,9,101,130,42,6,65
12-4,Municipales,2020,1,2020/03/15,8,46,12,4,27,1457,572,572,2,11,559,30,6,203,4,97,123,30,2,64
12-5,Municipales,2020,1,2020/03/15,8,46,12,5,37,1451,663,663,6,7,650,21,4,183,12,108,196,55,2,69
12-6,Municipales,2020,1,2020/03/15,8,46,12,6,52,1548,661,661,4,10,647,22,6,209,6,107,173,54,3,67
12-7,Municipales,2020,1,2020/03/15,8,46,12,7,35,1511,804,804,3,10,791,28,0,225,5,160,230,62,3,78
12-8,Municipales,2020,1,2020/03/15,8,46,12,8,22,1419,589,589,8,12,569,38,5,161,7,102,145,47,7,57
12-9,Municipales,2020,1,2020/03/15,8,46,12,9,25,1434,527,527,6,13,508,47,1,175,9,62,111,41,4,58
12-10,Municipales,2020,1,2020/03/15,8,46,12,10,26,1537,628,628,1,6,621,30,3,221,3,100,117,56,2,89
12-11,Municipales,2020,1,2020/03/15,8,46,12,11,44,1371,629,629,2,9,618,19,3,230,7,95,148,44,5,67
12-12,Municipales,2020,1,2020/03/15,8,46,12,12,17,1541,694,694,4,10,680,29,4,232,13,130,123,67,4,78
12-13,Municipales,2020,1,2020/03/15,8,46,12,13,33,1471,723,723,9,11,703,28,5,280,6,93,126,70,8,87
12-14,Municipales,2020,1,2020/03/15,8,46,12,14,25,1387,577,577,0,8,569,13,2,166,9,111,153,53,4,58
12-15,Municipales,2020,1,2020/03/15,8,46,12,15,51,1561,646,646,1,2,643,33,11,253,6,93,136,39,3,69
12-16,Municipales,2020,1,2020/03/15,8,46,12,16,32,1371,634,634,3,6,625,20,6,176,5,117,177,50,5,69
12-17,Municipales,2020,1,2020/03/15,8,46,12,17,22,1349,600,600,1,9,590,17,5,165,6,112,175,54,3,53
