ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. PENG Chang Hua","M. AOUDIA Sofiane","Mme ZENTAR Marie-Sophie    ","M. BEN MERZOUG Amir   ","M. QNOUCH Raphaël","M. COUMET Jérôme","Mme SOUYRIS Anne    ","Mme SAULNIER Marielle    ","M. OLIVIER Jean-Baptiste    ","M. DUBOIS Jean-Michel","M. POMMEAU Michel"
13-1,Municipales,2020,1,2020/03/15,9,49,13,1,30,1686,784,784,1,19,764,116,7,4,61,39,286,100,4,133,11,3
13-2,Municipales,2020,1,2020/03/15,9,49,13,2,28,1434,571,571,4,10,557,65,6,1,34,42,220,66,6,101,11,5
13-3,Municipales,2020,1,2020/03/15,9,49,13,3,25,1626,681,681,6,9,666,70,7,2,39,31,305,84,10,100,16,2
13-4,Municipales,2020,1,2020/03/15,9,49,13,4,13,1195,460,460,6,11,443,47,39,4,27,26,160,44,5,78,12,1
13-5,Municipales,2020,1,2020/03/15,9,49,13,5,38,1543,699,698,9,8,681,91,17,4,51,37,274,70,2,113,17,5
13-6,Municipales,2020,1,2020/03/15,9,49,13,6,13,1228,553,553,10,5,538,71,5,7,44,21,233,51,4,89,11,2
13-7,Municipales,2020,1,2020/03/15,9,49,13,7,16,1642,611,611,3,9,599,88,17,5,31,27,253,66,7,96,8,1
13-8,Municipales,2020,1,2020/03/15,9,50,13,8,16,1462,612,612,2,1,609,61,11,1,52,39,251,73,7,89,20,5
13-9,Municipales,2020,1,2020/03/15,9,50,13,9,10,1314,484,484,4,4,476,47,21,0,29,35,195,55,4,74,13,3
13-10,Municipales,2020,1,2020/03/15,9,50,13,10,10,1267,538,538,1,10,527,48,26,3,21,37,213,37,9,115,16,2
13-11,Municipales,2020,1,2020/03/15,9,50,13,11,18,1483,555,555,9,12,534,65,29,4,33,36,204,47,11,91,11,3
13-12,Municipales,2020,1,2020/03/15,9,50,13,12,9,1426,523,523,4,8,511,42,20,2,25,31,241,35,3,97,8,7
13-13,Municipales,2020,1,2020/03/15,9,50,13,13,24,1653,748,748,5,8,735,91,14,3,43,79,300,83,5,102,9,6
13-14,Municipales,2020,1,2020/03/15,9,50,13,14,7,1429,510,510,4,13,493,53,15,1,27,34,200,30,7,98,20,8
13-15,Municipales,2020,1,2020/03/15,9,50,13,15,9,1722,529,529,6,15,508,76,11,3,28,34,194,40,5,96,17,4
13-16,Municipales,2020,1,2020/03/15,9,50,13,16,18,1932,691,691,4,8,679,75,2,5,47,51,275,90,13,96,20,5
13-17,Municipales,2020,1,2020/03/15,9,50,13,17,14,1659,658,658,5,14,639,93,12,3,41,68,255,51,3,96,16,1
13-18,Municipales,2020,1,2020/03/15,9,50,13,18,8,1515,545,545,7,8,530,45,16,0,31,46,240,34,7,100,9,2
13-19,Municipales,2020,1,2020/03/15,9,50,13,19,14,1815,525,525,5,9,511,75,8,0,18,37,199,53,4,106,11,0
13-20,Municipales,2020,1,2020/03/15,9,50,13,20,7,1864,502,502,4,13,485,84,9,1,30,25,168,31,6,109,16,6
13-21,Municipales,2020,1,2020/03/15,9,50,13,21,4,1607,457,457,4,8,445,40,7,2,36,25,151,31,10,99,41,3
13-22,Municipales,2020,1,2020/03/15,9,50,13,22,8,1606,480,480,8,11,461,33,9,0,35,22,197,44,10,85,21,5
13-23,Municipales,2020,1,2020/03/15,9,50,13,23,20,1468,562,563,4,8,551,56,13,1,42,42,203,63,10,99,17,5
13-24,Municipales,2020,1,2020/03/15,9,50,13,24,9,1440,516,516,7,11,498,55,7,4,43,33,204,51,1,87,9,4
13-25,Municipales,2020,1,2020/03/15,9,50,13,25,4,1754,572,572,5,12,555,63,35,4,38,32,221,46,6,95,12,3
13-26,Municipales,2020,1,2020/03/15,9,50,13,26,13,1692,726,726,6,11,709,74,10,4,48,52,302,78,7,115,16,3
13-27,Municipales,2020,1,2020/03/15,9,50,13,27,19,1763,729,730,6,9,715,76,21,3,58,40,318,84,9,81,22,3
13-28,Municipales,2020,1,2020/03/15,9,50,13,28,20,1753,825,825,10,10,805,96,36,2,54,49,338,80,11,118,16,5
13-29,Municipales,2020,1,2020/03/15,9,50,13,29,7,1331,446,446,8,8,430,34,33,1,27,30,180,33,4,75,9,4
13-30,Municipales,2020,1,2020/03/15,9,50,13,30,20,1675,716,716,6,6,704,66,48,1,45,56,284,68,9,109,14,4
13-31,Municipales,2020,1,2020/03/15,9,50,13,31,23,1348,625,625,3,15,607,86,59,3,56,33,210,40,4,99,11,6
13-32,Municipales,2020,1,2020/03/15,9,50,13,32,19,1665,639,639,7,8,624,57,36,1,46,35,253,76,12,88,16,4
13-33,Municipales,2020,1,2020/03/15,9,49,13,33,2,694,184,184,0,6,178,21,7,2,7,21,69,23,4,19,4,1
13-34,Municipales,2020,1,2020/03/15,9,50,13,34,32,1918,865,865,5,6,854,135,26,0,57,53,339,78,8,144,9,5
13-35,Municipales,2020,1,2020/03/15,10,51,13,35,14,1227,497,497,3,4,490,55,6,4,38,34,192,64,4,79,13,1
13-36,Municipales,2020,1,2020/03/15,10,51,13,36,0,1422,636,636,9,1,626,86,12,2,48,37,243,68,3,116,7,4
13-37,Municipales,2020,1,2020/03/15,10,51,13,37,12,1725,557,557,6,8,543,55,18,3,24,47,222,50,11,93,15,5
13-38,Municipales,2020,1,2020/03/15,10,51,13,38,4,1433,496,496,1,8,487,90,5,4,42,28,165,36,10,97,10,0
