ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. VINCIGUERRA Laurent    ","M. VILLANI Cédric    ","M. GRUNENWALD Cédric","M. LETISSIER Florentin    ","Mme CARRERE-GEE Marie-Claire","M. AZIERE Éric    ","Mme ESSEMLALI Lamya    ","Mme PETIT Carine","M. LAYRÉ-CASSOU Franck    ","M. MIGUET Nicolas","M. VAUTIER Vincent"
14-1,Municipales,2020,1,2020/03/15,11,55,14,1,28,1375,638,638,5,7,626,3,97,3,70,103,87,24,224,12,3,0
14-2,Municipales,2020,1,2020/03/15,11,55,14,2,22,1495,657,657,1,6,650,5,84,5,84,132,81,24,215,11,4,5
14-3,Municipales,2020,1,2020/03/15,11,55,14,3,32,1620,828,828,5,17,806,4,99,4,97,162,150,22,257,8,2,1
14-4,Municipales,2020,1,2020/03/15,11,55,14,4,26,1528,695,695,1,9,685,5,80,11,88,117,109,22,240,8,2,3
14-5,Municipales,2020,1,2020/03/15,11,55,14,5,28,1409,657,657,3,5,649,0,88,6,60,126,101,19,238,9,0,2
14-6,Municipales,2020,1,2020/03/15,11,55,14,6,31,1480,760,760,1,8,751,3,93,2,98,151,126,20,244,8,2,4
14-7,Municipales,2020,1,2020/03/15,11,55,14,7,25,1474,692,691,5,6,680,5,73,2,94,132,105,21,237,10,1,0
14-8,Municipales,2020,1,2020/03/15,11,55,14,8,27,1484,734,734,4,8,722,4,110,8,78,144,126,18,215,15,4,0
14-9,Municipales,2020,1,2020/03/15,11,55,14,9,24,1512,729,729,4,5,720,2,98,3,80,131,116,20,258,7,1,4
14-10,Municipales,2020,1,2020/03/15,11,55,14,10,18,1443,581,581,2,11,568,4,63,9,65,118,87,18,180,18,1,5
14-11,Municipales,2020,1,2020/03/15,11,55,14,11,17,1398,636,636,6,10,620,2,73,3,82,124,112,22,188,10,4,0
14-12,Municipales,2020,1,2020/03/15,11,55,14,12,18,1570,743,743,3,11,729,7,88,5,73,162,118,27,223,19,5,2
14-13,Municipales,2020,1,2020/03/15,11,55,14,13,18,1561,769,769,8,13,748,2,90,5,88,151,105,21,262,17,4,3
