ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. GOUJON Philippe    ","Mme IBLED Catherine    ","Mme ROETHLISBERGER Corinne    ","Mme NIAKATÉ Aminata    ","M. VIALE Frédéric    ","M. GUIBERT Géraud","Mme EVREN Agnès","M. DE SAINT JUST Wallerand","Mme TORANIAN Anouch"
15-1,Municipales,2020,1,2020/03/15,12,59,15,1,34,1217,533,533,1,6,526,148,92,3,34,8,31,96,8,106
15-2,Municipales,2020,1,2020/03/15,1900/01/12,59,15,2,53,1407,684,688,2,7,679,169,115,0,48,13,33,161,16,124
15-3,Municipales,2020,1,2020/03/15,1900/01/12,59,15,3,13,1330,593,593,3,9,581,130,72,7,52,10,36,115,11,148
15-4,Municipales,2020,1,2020/03/15,1900/01/12,59,15,4,17,1632,657,657,2,5,650,149,111,1,51,13,52,128,11,134
15-5,Municipales,2020,1,2020/03/15,1900/01/12,59,15,5,28,1634,652,652,2,6,644,133,110,0,49,10,53,155,10,124
15-6,Municipales,2020,1,2020/03/15,1900/01/12,59,15,6,28,1607,721,721,1,14,706,166,108,4,51,13,60,148,13,143
15-7,Municipales,2020,1,2020/03/15,1900/01/12,59,15,7,28,1557,663,665,3,10,652,145,121,5,56,7,39,152,11,116
15-8,Municipales,2020,1,2020/03/15,1900/01/12,59,15,8,31,1408,647,647,0,4,643,120,140,2,42,12,55,140,8,124
15-9,Municipales,2020,1,2020/03/15,1900/01/12,59,15,9,43,1493,625,625,2,8,615,158,108,3,42,14,41,126,13,110
15-10,Municipales,2020,1,2020/03/15,1900/01/12,59,15,10,9,1519,576,578,0,2,576,104,118,2,32,13,32,155,14,106
15-11,Municipales,2020,1,2020/03/15,1900/01/12,59,15,11,29,1586,724,724,4,7,713,174,154,3,43,13,46,158,12,110
15-12,Municipales,2020,1,2020/03/15,1900/01/12,59,15,12,20,1724,786,786,4,6,776,162,159,2,69,8,50,165,17,144
15-13,Municipales,2020,1,2020/03/15,1900/01/12,59,15,13,45,1642,752,752,2,7,743,186,120,2,72,13,57,146,11,136
15-14,Municipales,2020,1,2020/03/15,1900/01/12,59,15,14,30,1696,749,749,1,4,744,170,166,2,37,15,55,203,9,87
15-15,Municipales,2020,1,2020/03/15,1900/01/12,59,15,15,15,1553,645,648,3,6,639,145,95,2,42,11,39,208,18,79
15-16,Municipales,2020,1,2020/03/15,1900/01/12,59,15,16,17,1699,838,838,2,6,830,176,158,4,38,7,53,260,16,118
15-17,Municipales,2020,1,2020/03/15,1900/01/12,59,15,17,20,1550,664,664,2,2,660,172,91,1,41,13,37,191,29,85
15-18,Municipales,2020,1,2020/03/15,1900/01/12,59,15,18,17,1384,587,590,7,7,576,128,107,0,36,8,42,172,22,61
15-19,Municipales,2020,1,2020/03/15,1900/01/12,59,15,19,38,1402,674,675,3,8,664,154,125,5,46,8,42,190,12,82
15-20,Municipales,2020,1,2020/03/15,1900/01/12,58,15,20,18,1501,654,657,2,6,649,142,105,1,41,3,56,219,7,75
15-21,Municipales,2020,1,2020/03/15,1900/01/12,58,15,21,23,1364,632,632,0,6,626,121,124,1,38,6,33,206,16,81
15-22,Municipales,2020,1,2020/03/15,1900/01/12,58,15,22,31,1452,651,652,3,1,648,131,147,1,36,10,38,186,9,90
15-23,Municipales,2020,1,2020/03/15,1900/01/12,58,15,23,35,1522,756,756,1,13,742,143,162,1,39,12,50,209,14,112
15-24,Municipales,2020,1,2020/03/15,1900/01/12,58,15,24,40,1548,722,722,2,7,713,125,136,1,49,10,48,239,17,88
15-25,Municipales,2020,1,2020/03/15,1900/01/12,58,15,25,39,1582,734,736,5,3,728,169,157,1,47,13,40,161,16,124
15-26,Municipales,2020,1,2020/03/15,1900/01/12,58,15,26,23,1575,663,664,3,8,653,123,128,4,60,9,49,124,16,140
15-27,Municipales,2020,1,2020/03/15,1900/01/12,58,15,27,18,1464,558,558,9,4,545,131,77,2,40,25,24,129,15,102
15-28,Municipales,2020,1,2020/03/15,1900/01/12,58,15,28,22,1497,665,662,4,0,658,145,129,6,36,13,33,150,5,141
15-29,Municipales,2020,1,2020/03/15,1900/01/12,58,15,29,50,1515,726,726,6,12,708,166,115,1,61,9,55,139,7,155
15-30,Municipales,2020,1,2020/03/15,1900/01/12,58,15,30,34,1529,755,756,0,5,751,155,139,3,60,7,36,175,8,168
15-31,Municipales,2020,1,2020/03/15,1900/01/12,58,15,31,16,1566,720,720,3,4,713,158,130,0,45,10,51,192,12,115
15-32,Municipales,2020,1,2020/03/15,1900/01/12,58,15,32,40,1508,741,742,1,5,736,138,143,2,68,9,43,165,20,148
15-33,Municipales,2020,1,2020/03/15,1900/01/12,58,15,33,39,1515,719,719,1,5,713,99,134,7,57,9,54,207,16,130
15-34,Municipales,2020,1,2020/03/15,1900/01/12,58,15,34,47,1649,756,756,3,7,746,155,127,4,62,15,60,164,11,148
15-35,Municipales,2020,1,2020/03/15,1900/01/12,58,15,35,17,1656,709,709,2,12,695,113,132,1,66,15,63,123,15,167
15-36,Municipales,2020,1,2020/03/15,1900/01/12,58,15,36,33,1576,729,729,4,7,718,120,120,4,57,23,62,156,11,165
15-37,Municipales,2020,1,2020/03/15,1900/01/12,58,15,37,35,1575,735,736,1,13,722,111,135,6,59,17,68,178,14,134
15-38,Municipales,2020,1,2020/03/15,1900/01/12,58,15,38,11,1507,617,617,5,7,605,119,77,5,61,15,39,137,12,140
15-39,Municipales,2020,1,2020/03/15,1900/01/12,57,15,39,11,1553,540,540,2,4,534,139,60,5,51,22,46,97,14,100
15-40,Municipales,2020,1,2020/03/15,1900/01/12,57,15,40,15,1475,555,555,3,6,546,123,74,8,51,13,34,117,13,113
15-41,Municipales,2020,1,2020/03/15,1900/01/12,57,15,41,25,1614,701,701,6,5,690,131,94,3,75,14,47,143,17,166
