ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. SZPINER Francis","Mme SEBBAH Hanna","Mme FUSI Muriel    ","Mme MARRE Béatrice    ","Mme COPPIN Anne-Sophie","Mme NOVELLI Annie","M. DE BOUCAUD Philippe   ","Mme MAKBOUL Ourida    ","Mme BOULAY-ESPÉRONNIER Céline","Mme GIAZZI Danièle","M. ATLAN Bernard"
16-1,Municipales,2020,1,2020/03/15,14,62,16,1,22,1463,578,578,0,1,577,306,127,26,31,25,0,5,3,39,12,3
16-2,Municipales,2020,1,2020/03/15,14,62,16,2,24,1552,662,662,1,6,655,348,161,13,25,26,1,3,1,42,27,8
16-3,Municipales,2020,1,2020/03/15,14,62,16,3,30,1511,526,526,1,1,524,302,121,15,28,19,0,0,0,22,14,3
16-4,Municipales,2020,1,2020/03/15,14,62,16,4,34,1608,603,603,1,1,601,327,152,15,27,19,0,1,1,37,19,3
16-5,Municipales,2020,1,2020/03/15,14,62,16,5,24,1284,546,546,4,5,537,263,127,27,31,27,4,3,0,33,16,6
16-6,Municipales,2020,1,2020/03/15,14,62,16,6,15,1288,582,582,2,5,575,289,137,21,45,28,1,1,0,31,14,8
16-7,Municipales,2020,1,2020/03/15,14,62,16,7,19,1381,529,529,1,8,520,259,124,26,36,28,1,3,4,21,16,2
16-8,Municipales,2020,1,2020/03/15,14,62,16,8,30,1280,554,554,5,4,545,305,121,12,27,18,3,3,0,34,16,6
16-9,Municipales,2020,1,2020/03/15,14,62,16,9,14,1228,497,496,1,6,489,253,127,19,28,15,2,3,3,21,17,1
16-10,Municipales,2020,1,2020/03/15,14,62,16,10,33,1389,595,595,2,2,591,263,153,15,42,37,6,3,3,42,17,10
16-11,Municipales,2020,1,2020/03/15,14,62,16,11,39,1250,524,524,1,4,519,254,143,13,34,20,0,1,2,36,11,5
16-12,Municipales,2020,1,2020/03/15,14,62,16,12,13,1281,501,501,1,7,493,211,128,23,34,28,1,3,6,38,13,8
16-13,Municipales,2020,1,2020/03/15,14,62,16,13,20,1416,575,575,2,2,571,271,123,23,53,41,0,2,2,24,18,14
16-14,Municipales,2020,1,2020/03/15,14,62,16,14,10,1307,565,565,2,9,554,249,140,23,41,24,4,2,2,41,17,11
16-15,Municipales,2020,1,2020/03/15,14,62,16,15,25,1252,519,519,2,0,517,264,142,14,35,23,0,1,3,21,9,5
16-16,Municipales,2020,1,2020/03/15,14,62,16,16,39,1328,628,629,0,5,624,259,174,25,51,38,0,4,3,40,26,4
16-17,Municipales,2020,1,2020/03/15,14,62,16,17,25,1407,662,662,3,2,657,328,156,16,30,37,0,2,2,56,29,1
16-18,Municipales,2020,1,2020/03/15,14,62,16,18,33,1420,592,592,0,2,590,288,174,21,35,15,6,4,3,22,16,6
16-19,Municipales,2020,1,2020/03/15,14,62,16,19,23,1325,536,536,0,6,530,230,133,22,51,43,1,3,2,22,21,2
16-20,Municipales,2020,1,2020/03/15,14,62,16,20,25,1524,667,661,1,3,657,306,161,13,43,36,5,6,0,56,23,8
16-21,Municipales,2020,1,2020/03/15,14,61,16,21,27,1473,678,672,2,10,660,290,177,35,54,41,2,3,7,23,24,4
16-22,Municipales,2020,1,2020/03/15,14,61,16,22,29,1634,714,714,1,8,705,334,180,20,54,37,6,6,2,30,30,6
16-23,Municipales,2020,1,2020/03/15,14,61,16,23,17,1414,660,660,3,2,655,370,131,16,38,32,4,6,3,30,18,7
16-24,Municipales,2020,1,2020/03/15,14,61,16,24,17,1440,564,566,2,1,563,310,122,23,34,27,1,3,0,18,23,2
16-25,Municipales,2020,1,2020/03/15,14,61,16,25,20,1446,598,598,3,6,589,280,123,28,57,37,5,3,6,18,21,11
16-26,Municipales,2020,1,2020/03/15,14,61,16,26,28,1467,600,600,1,4,595,270,154,21,38,32,1,3,2,51,18,5
16-27,Municipales,2020,1,2020/03/15,14,61,16,27,26,1309,576,577,2,5,570,266,130,24,40,31,1,1,1,37,27,12
16-28,Municipales,2020,1,2020/03/15,14,61,16,28,21,1284,542,542,0,5,537,254,135,21,52,25,0,2,0,25,17,6
16-29,Municipales,2020,1,2020/03/15,14,61,16,29,20,1302,535,535,2,4,529,247,141,16,45,21,2,5,3,30,16,3
