ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. DHORASOO Vikash","M. LEJOINDRE Eric","M. BOURNAZEL Pierre-Yves","M. DE GERMAIN Jérôme   ","Mme BOUX Anne-Claire    ","M. ELALOUF Lucas    ","M. GIBERT Florian    ","M. AKSAS Abdellah","M. GRANIER Rudolph","M. MAZUR Jean-Jacques","M. LISCIA Pierre","M. CAMPION Marcel","Mme DABOUSSI Hela","M. GARNIER Patrick"
18-1,Municipales,2020,1,2020/03/15,18,70,18,1,38,1569,708,708,0,5,703,59,222,138,2,131,31,1,6,84,0,22,1,4,2
18-2,Municipales,2020,1,2020/03/15,18,70,18,2,20,1550,651,654,5,6,643,32,189,139,6,115,53,1,3,76,0,17,4,7,1
18-3,Municipales,2020,1,2020/03/15,18,70,18,3,25,1522,659,659,3,7,649,25,163,151,5,95,40,3,5,116,1,37,5,1,2
18-4,Municipales,2020,1,2020/03/15,18,70,18,4,29,1837,808,808,6,4,798,63,232,149,5,147,48,4,1,110,2,26,5,5,1
18-5,Municipales,2020,1,2020/03/15,18,70,18,5,23,1251,609,609,1,8,600,34,191,143,5,95,47,0,2,72,0,7,2,2,0
18-6,Municipales,2020,1,2020/03/15,18,70,18,6,35,1491,676,676,3,10,663,53,230,130,3,121,22,0,3,68,4,17,2,8,2
18-7,Municipales,2020,1,2020/03/15,18,70,18,7,19,1432,627,624,3,2,619,61,227,86,5,120,40,2,4,41,4,18,2,7,2
18-8,Municipales,2020,1,2020/03/15,18,70,18,8,20,1452,655,655,1,1,653,72,201,110,8,130,21,3,0,35,5,37,4,3,24
18-9,Municipales,2020,1,2020/03/15,18,70,18,9,11,1622,717,717,5,7,705,42,260,128,5,134,35,2,6,62,0,22,2,5,2
18-10,Municipales,2020,1,2020/03/15,18,70,18,10,31,1675,720,721,4,5,712,90,218,109,4,156,34,7,2,54,4,19,6,9,0
18-11,Municipales,2020,1,2020/03/15,18,70,18,11,20,1604,700,700,6,5,689,64,208,114,10,152,39,1,5,64,3,19,3,6,1
18-12,Municipales,2020,1,2020/03/15,18,70,18,12,12,1645,540,539,7,6,526,60,171,90,11,73,24,5,2,65,5,10,6,3,1
18-13,Municipales,2020,1,2020/03/15,18,70,18,13,4,1140,389,389,2,5,382,41,116,42,6,42,60,2,6,48,2,8,1,7,1
18-14,Municipales,2020,1,2020/03/15,18,70,18,14,20,1904,711,711,3,10,698,102,187,100,4,148,45,5,4,67,7,13,5,9,2
18-15,Municipales,2020,1,2020/03/15,18,70,18,15,18,1500,627,627,5,10,612,68,210,71,6,132,32,4,2,63,4,12,4,2,2
18-16,Municipales,2020,1,2020/03/15,18,70,18,16,34,1612,669,669,8,10,651,64,203,108,8,121,31,4,4,75,2,20,1,8,2
18-17,Municipales,2020,1,2020/03/15,18,70,18,17,43,1841,791,790,9,10,771,108,258,100,10,154,39,2,5,55,2,21,6,5,6
18-18,Municipales,2020,1,2020/03/15,18,70,18,18,22,1843,818,821,5,8,808,103,299,97,6,168,33,3,8,51,1,22,3,9,5
18-19,Municipales,2020,1,2020/03/15,18,70,18,19,27,1796,788,788,2,10,776,72,263,117,5,172,40,4,3,64,4,25,2,3,2
18-20,Municipales,2020,1,2020/03/15,18,70,18,20,36,1695,736,737,4,6,727,68,270,114,5,126,43,3,6,56,5,24,3,3,1
18-21,Municipales,2020,1,2020/03/15,18,70,18,21,32,1653,748,747,4,7,736,71,250,125,5,130,57,2,2,66,0,16,3,9,0
18-22,Municipales,2020,1,2020/03/15,18,70,18,22,16,1497,621,621,3,10,608,45,187,125,5,102,43,0,4,71,1,18,1,6,0
18-23,Municipales,2020,1,2020/03/15,18,70,18,23,15,1493,636,636,0,7,629,53,187,145,6,105,46,3,2,56,0,17,5,3,1
18-24,Municipales,2020,1,2020/03/15,18,70,18,24,28,1541,693,693,0,5,688,65,220,149,3,107,38,3,4,81,1,9,3,5,0
18-25,Municipales,2020,1,2020/03/15,18,69,18,25,35,1494,701,701,1,5,695,28,177,207,5,82,52,4,2,115,2,17,2,1,1
18-26,Municipales,2020,1,2020/03/15,18,69,18,26,24,1454,609,609,1,1,607,45,188,113,5,118,41,4,3,64,4,16,1,4,1
18-27,Municipales,2020,1,2020/03/15,18,69,18,27,19,1433,585,586,3,7,576,49,191,98,7,113,46,2,2,45,0,14,4,5,0
18-28,Municipales,2020,1,2020/03/15,18,69,18,28,26,1762,777,777,1,8,768,45,214,170,6,126,57,3,4,105,3,26,2,7,0
18-29,Municipales,2020,1,2020/03/15,18,69,18,29,23,1627,709,710,3,4,703,45,207,146,7,106,49,1,3,110,5,19,2,2,1
18-30,Municipales,2020,1,2020/03/15,18,69,18,30,23,1770,794,794,4,6,784,39,254,168,5,118,41,3,3,112,5,28,4,3,1
18-31,Municipales,2020,1,2020/03/15,18,69,18,31,29,1816,807,807,3,7,797,37,289,149,10,124,32,3,11,113,0,23,4,2,0
18-32,Municipales,2020,1,2020/03/15,18,69,18,32,27,1648,720,720,1,7,712,60,192,158,17,102,48,4,6,101,3,12,4,3,2
18-33,Municipales,2020,1,2020/03/15,18,69,18,33,12,1642,671,672,3,10,659,42,187,148,4,115,32,2,7,81,6,22,3,9,1
18-34,Municipales,2020,1,2020/03/15,18,69,18,34,20,1788,692,692,6,13,673,47,183,135,5,111,35,0,4,109,4,29,4,6,1
