ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. ROUXEL Olivier    ","Mme BENISTI Régina    ","M. DAGNAUD François    ","M. LERT Dan","Mme FORTEZA Paula","M. FEDERBUSCH Serge","Mme TOUBIANA Marie    ","M. EL-MARBATI Nordine    ","Mme LEGRAIN Sarah    ","M. PASQUIOU Paul    "
19-1,Municipales,2020,1,2020/03/15,16,76,19,1,18,1566,578,578,1,15,562,57,4,261,62,42,9,80,4,38,5
19-2,Municipales,2020,1,2020/03/15,16,76,19,2,33,1502,552,552,3,7,542,52,1,243,92,23,13,58,6,51,3
19-3,Municipales,2020,1,2020/03/15,16,76,19,3,12,1116,420,420,3,9,408,54,1,158,54,29,10,67,1,26,8
19-4,Municipales,2020,1,2020/03/15,16,76,19,4,21,1316,531,531,8,9,514,63,2,211,77,35,6,61,5,51,3
19-5,Municipales,2020,1,2020/03/15,16,76,19,5,24,1345,551,551,1,12,538,97,2,222,64,26,7,81,2,36,1
19-6,Municipales,2020,1,2020/03/15,16,76,19,6,33,1372,577,577,3,9,565,69,1,213,88,38,11,85,2,54,4
19-7,Municipales,2020,1,2020/03/15,17,76,19,7,20,1383,558,558,4,2,552,92,1,209,67,25,9,103,7,37,2
19-8,Municipales,2020,1,2020/03/15,17,76,19,8,17,1346,416,416,7,4,405,44,3,156,55,29,7,73,6,30,2
19-9,Municipales,2020,1,2020/03/15,16,76,19,9,21,1733,690,690,3,6,681,82,5,237,116,41,11,100,9,76,4
19-10,Municipales,2020,1,2020/03/15,16,76,19,10,28,1633,722,722,3,6,713,90,2,309,145,32,8,74,3,47,3
19-11,Municipales,2020,1,2020/03/15,16,76,19,11,32,1611,693,693,1,7,685,78,1,297,126,42,3,72,10,53,3
19-12,Municipales,2020,1,2020/03/15,16,76,19,12,40,1640,753,753,7,7,739,67,4,341,152,30,14,65,1,61,4
19-13,Municipales,2020,1,2020/03/15,16,76,19,13,27,1700,706,705,5,10,690,73,2,316,120,32,8,72,2,63,2
19-14,Municipales,2020,1,2020/03/15,16,76,19,14,53,1717,685,685,4,4,677,51,4,315,120,33,13,60,6,67,8
19-15,Municipales,2020,1,2020/03/15,16,76,19,15,25,1460,676,676,4,9,663,67,3,312,118,31,11,61,3,54,3
19-16,Municipales,2020,1,2020/03/15,16,76,19,16,30,1676,755,755,3,8,744,102,3,336,110,41,10,92,3,41,6
19-17,Municipales,2020,1,2020/03/15,16,76,19,17,14,1494,624,624,2,2,620,85,2,247,78,44,6,104,5,44,5
19-18,Municipales,2020,1,2020/03/15,16,75,19,18,7,786,242,242,3,8,231,17,2,90,28,17,8,43,1,23,2
19-19,Municipales,2020,1,2020/03/15,16,75,19,19,3,1251,285,285,4,11,270,25,3,102,27,13,9,47,8,30,6
19-20,Municipales,2020,1,2020/03/15,16,75,19,20,5,1481,431,431,9,4,418,48,1,153,44,15,8,97,3,42,7
19-21,Municipales,2020,1,2020/03/15,16,75,19,21,17,1625,617,617,5,6,606,64,1,237,92,34,8,68,5,92,5
19-22,Municipales,2020,1,2020/03/15,16,75,19,22,8,1483,376,376,3,11,362,40,3,153,32,22,5,54,7,44,2
19-23,Municipales,2020,1,2020/03/15,16,75,19,23,14,1573,535,535,3,10,522,53,7,244,81,31,3,57,9,37,0
19-24,Municipales,2020,1,2020/03/15,16,75,19,24,7,1505,516,516,5,7,504,79,4,191,58,23,9,93,8,34,5
19-25,Municipales,2020,1,2020/03/15,16,75,19,25,9,1578,578,578,2,6,570,67,4,239,93,29,9,80,3,44,2
19-26,Municipales,2020,1,2020/03/15,16,75,19,26,16,1462,530,530,4,7,519,57,5,234,59,25,7,81,4,46,1
19-27,Municipales,2020,1,2020/03/15,16,75,19,27,18,1777,686,686,3,12,671,60,4,286,124,24,12,99,1,56,5
19-28,Municipales,2020,1,2020/03/15,16,75,19,28,31,1667,715,715,6,6,703,114,2,230,123,58,8,87,3,72,6
19-29,Municipales,2020,1,2020/03/15,16,75,19,29,19,1443,550,550,0,11,539,71,5,212,81,31,10,77,2,46,4
19-30,Municipales,2020,1,2020/03/15,16,75,19,30,27,1574,718,718,2,5,711,93,5,273,108,58,4,125,1,41,3
19-31,Municipales,2020,1,2020/03/15,16,75,19,31,16,1505,648,650,7,5,638,81,1,255,119,38,9,74,3,54,4
19-32,Municipales,2020,1,2020/03/15,16,75,19,32,33,1509,743,743,5,6,732,66,0,350,131,39,8,71,6,59,2
19-33,Municipales,2020,1,2020/03/15,16,75,19,33,13,1414,471,471,5,4,462,59,1,211,52,26,10,65,10,26,2
19-34,Municipales,2020,1,2020/03/15,16,75,19,34,14,1316,588,588,6,8,574,78,2,215,86,43,13,79,0,54,4
19-35,Municipales,2020,1,2020/03/15,16,75,19,35,7,1111,335,335,7,8,320,37,1,117,44,24,12,47,0,36,2
19-36,Municipales,2020,1,2020/03/15,16,75,19,36,12,1353,494,494,1,4,489,53,5,207,50,16,10,86,7,50,5
19-37,Municipales,2020,1,2020/03/15,16,75,19,37,6,1385,459,459,4,8,447,39,6,199,52,22,14,68,4,39,4
19-38,Municipales,2020,1,2020/03/15,16,75,19,38,26,1403,524,524,3,10,511,51,0,208,79,26,12,59,4,68,4
19-39,Municipales,2020,1,2020/03/15,16,75,19,39,27,1449,585,585,8,6,571,43,2,251,75,41,17,78,8,55,1
19-40,Municipales,2020,1,2020/03/15,16,75,19,40,9,1410,489,489,7,13,469,48,5,169,66,23,21,83,7,44,3
19-41,Municipales,2020,1,2020/03/15,16,74,19,41,5,1482,460,460,9,7,444,64,4,173,44,23,8,79,6,41,2
19-42,Municipales,2020,1,2020/03/15,16,74,19,42,5,1211,293,293,1,10,282,30,2,117,23,16,6,49,9,25,5
19-43,Municipales,2020,1,2020/03/15,16,74,19,43,4,1391,326,326,2,1,323,31,6,112,31,19,11,70,10,27,6
19-44,Municipales,2020,1,2020/03/15,16,74,19,44,5,1536,371,371,4,3,364,46,3,124,42,25,15,68,8,31,2
19-45,Municipales,2020,1,2020/03/15,16,74,19,45,7,1568,499,499,6,8,485,51,3,213,62,22,13,63,8,49,1
19-46,Municipales,2020,1,2020/03/15,16,74,19,46,12,1840,615,615,6,6,603,73,3,257,89,37,6,70,5,62,1
19-47,Municipales,2020,1,2020/03/15,16,74,19,47,21,1876,736,736,3,13,720,88,7,302,97,52,10,104,9,47,4
19-48,Municipales,2020,1,2020/03/15,16,74,19,48,22,1875,721,721,3,9,709,83,4,283,133,35,10,88,3,65,5
19-49,Municipales,2020,1,2020/03/15,16,74,19,49,11,1641,540,540,1,12,527,47,1,231,107,33,8,54,4,39,3
19-50,Municipales,2020,1,2020/03/15,16,74,19,50,11,1095,435,435,3,7,425,53,2,180,52,29,4,38,2,58,7
19-51,Municipales,2020,1,2020/03/15,17,73,19,51,8,1577,448,448,8,13,427,60,3,142,32,32,10,99,6,40,3
19-52,Municipales,2020,1,2020/03/15,17,73,19,52,12,1544,550,550,7,10,533,74,3,216,62,35,9,79,7,43,5
19-53,Municipales,2020,1,2020/03/15,17,73,19,53,12,1496,498,498,3,6,489,74,4,168,51,26,13,106,5,40,2
19-54,Municipales,2020,1,2020/03/15,17,73,19,54,17,1570,586,586,5,11,570,63,5,262,79,32,12,65,2,43,7
19-55,Municipales,2020,1,2020/03/15,17,73,19,55,6,1498,380,380,4,9,367,33,10,161,37,13,14,60,3,29,7
19-56,Municipales,2020,1,2020/03/15,17,73,19,56,4,1401,451,451,3,9,439,44,7,186,52,23,14,72,2,36,3
19-57,Municipales,2020,1,2020/03/15,17,73,19,57,9,1364,325,325,5,9,311,34,4,124,29,17,11,69,5,16,2
19-58,Municipales,2020,1,2020/03/15,17,73,19,58,32,1615,716,718,3,8,707,68,1,299,140,42,9,75,5,60,8
19-59,Municipales,2020,1,2020/03/15,17,73,19,59,8,1588,654,654,3,16,635,80,1,249,101,47,12,97,7,38,3
19-60,Municipales,2020,1,2020/03/15,17,73,19,60,25,1616,588,588,0,5,583,66,0,250,87,39,9,65,4,59,4
19-61,Municipales,2020,1,2020/03/15,17,73,19,61,24,1509,579,579,2,13,564,56,4,244,104,26,5,72,6,45,2
19-62,Municipales,2020,1,2020/03/15,17,73,19,62,10,1623,582,582,4,9,569,44,4,233,109,32,10,83,4,39,11
19-63,Municipales,2020,1,2020/03/15,17,73,19,63,14,1480,534,534,1,7,526,83,1,195,71,36,11,77,7,42,3
19-64,Municipales,2020,1,2020/03/15,17,73,19,64,15,1609,619,619,2,10,607,60,6,244,95,34,13,84,7,59,5
19-65,Municipales,2020,1,2020/03/15,17,73,19,65,15,1518,591,591,4,10,577,82,1,229,77,48,6,94,2,36,2
19-66,Municipales,2020,1,2020/03/15,17,73,19,66,23,1599,631,631,6,7,618,83,7,244,104,48,19,70,6,32,5
19-67,Municipales,2020,1,2020/03/15,17,73,19,67,8,1659,557,557,6,16,535,35,2,224,94,35,10,52,3,74,6
19-68,Municipales,2020,1,2020/03/15,17,73,19,68,15,1595,474,474,8,4,462,48,2,204,57,17,9,76,3,44,2
19-69,Municipales,2020,1,2020/03/15,17,73,19,69,14,1587,481,481,8,7,466,37,6,206,86,23,9,54,9,33,3
19-70,Municipales,2020,1,2020/03/15,17,73,19,70,12,1357,468,469,7,2,460,50,1,183,47,41,11,75,3,49,0
19-71,Municipales,2020,1,2020/03/15,16,74,19,71,2,1161,327,328,5,4,319,37,2,131,28,11,6,71,3,29,1
